rounded_hour,SA_int,count
2018-06-06,-1,13
2018-06-06,0,58
2018-06-06,1,29
2018-06-07,-1,15
2018-06-07,0,60
2018-06-07,1,25
2018-06-08,-1,6
2018-06-08,0,62
2018-06-08,1,32
2018-06-09,-1,5
2018-06-09,0,65
2018-06-09,1,30
2018-06-10,-1,12
2018-06-10,0,38
2018-06-10,1,50
2018-06-11,-1,7
2018-06-11,0,69
2018-06-11,1,24
2018-06-12,-1,7
2018-06-12,0,74
2018-06-12,1,19
2018-06-13,-1,13
2018-06-13,0,58
2018-06-13,1,29
2018-06-14,-1,6
2018-06-14,0,61
2018-06-14,1,33
2018-06-15,-1,13
2018-06-15,0,49
2018-06-15,1,38
2018-06-16,-1,18
2018-06-16,0,48
2018-06-16,1,34
2018-06-17,-1,4
2018-06-17,0,75
2018-06-17,1,21
2018-06-18,-1,5
2018-06-18,0,53
2018-06-18,1,42
2018-06-19,-1,7
2018-06-19,0,66
2018-06-19,1,27
2018-06-20,-1,9
2018-06-20,0,57
2018-06-20,1,34
2018-06-21,-1,11
2018-06-21,0,50
2018-06-21,1,39
2018-06-22,-1,13
2018-06-22,0,56
2018-06-22,1,31
2018-06-23,-1,4
2018-06-23,0,61
2018-06-23,1,35
2018-06-24,-1,7
2018-06-24,0,53
2018-06-24,1,40
2018-06-25,-1,17
2018-06-25,0,52
2018-06-25,1,31
2018-06-26,-1,8
2018-06-26,0,42
2018-06-26,1,50
2018-06-27,-1,8
2018-06-27,0,62
2018-06-27,1,30
2018-06-28,-1,9
2018-06-28,0,51
2018-06-28,1,40
2018-06-29,-1,10
2018-06-29,0,58
2018-06-29,1,32
2018-06-30,-1,19
2018-06-30,0,47
2018-06-30,1,34
2018-07-01,-1,15
2018-07-01,0,47
2018-07-01,1,38
2018-07-02,-1,8
2018-07-02,0,54
2018-07-02,1,38
2018-07-03,-1,7
2018-07-03,0,64
2018-07-03,1,29
2018-07-04,-1,8
2018-07-04,0,62
2018-07-04,1,30
2018-07-05,-1,7
2018-07-05,0,73
2018-07-05,1,20
2018-07-06,-1,10
2018-07-06,0,62
2018-07-06,1,28
2018-07-07,-1,5
2018-07-07,0,77
2018-07-07,1,18
2018-07-08,-1,10
2018-07-08,0,53
2018-07-08,1,37
2018-07-09,-1,18
2018-07-09,0,56
2018-07-09,1,26
2018-07-10,-1,18
2018-07-10,0,51
2018-07-10,1,31
2018-07-11,-1,10
2018-07-11,0,58
2018-07-11,1,32
