Time,anxbtc,cavirtex,coinbase,kraken,localbitcoins,mtgox,quadrigacx,wallofcoins
2013-10-29 00:00:00 UTC,,829.6761,,,27.1098,85.83220107,,
2013-10-30 00:00:00 UTC,,563.7185,,,33.48,239.77357498,,
2013-10-31 00:00:00 UTC,,505.2066,,,27.3465,54.72804208,,
2013-11-01 00:00:00 UTC,,181.4733,,,34.1288,36.86671971,,
2013-11-02 00:00:00 UTC,,351.5192,,,18.8084,10.30897247,,
2013-11-03 00:00:00 UTC,,398.6916,,,7.0393,201.86850818,,
2013-11-04 00:00:00 UTC,,813.5854,,,50.5113,46.50709201,,
2013-11-05 00:00:00 UTC,,1916.072,,,43.70428,110.92700477,,
2013-11-06 00:00:00 UTC,,764.8841,,,38.70260182,101.15718918,,
2013-11-07 00:00:00 UTC,,1353.0771,,,91.25326333,158.80912503,,
2013-11-08 00:00:00 UTC,,1392.6092,,,59.8675,124.34483111,,
2013-11-09 00:00:00 UTC,,1408.4296,,,37.6633,119.40478256,,
2013-11-10 00:00:00 UTC,,1894.6447,,,18.9118,171.40673001,,
2013-11-11 00:00:00 UTC,,432.4856,,,8.217662,15.27010453,,
2013-11-12 00:00:00 UTC,,515.995,,,72.0134,100.99550691,,
2013-11-13 00:00:00 UTC,,864.5827,,,111.4308,190.8762949,,
2013-11-14 00:00:00 UTC,,882.7406,,,59.5272,70.36262864,,
2013-11-15 00:00:00 UTC,,945.7481,,,58.06732459,131.8302725,,
2013-11-16 00:00:00 UTC,,596.3336,,,27.20611,48.72212231,,
2013-11-17 00:00:00 UTC,,880.9337,,,42.6611,97.81295835,,
2013-11-18 00:00:00 UTC,,1852.8745,,,66.8261,154.56891702,,
2013-11-19 00:00:00 UTC,,1989.5358,,,56.3522,356.84331094,,
2013-11-20 00:00:00 UTC,,2172.9455,,,33.39943444,223.39662208,,
2013-11-21 00:00:00 UTC,,941.1173,,,45.0814,88.99409872,,
2013-11-22 00:00:00 UTC,,624.9091,,,40.86953059,166.68601936,,
2013-11-23 00:00:00 UTC,,809.4433,,,12.2508,79.89960281,,
2013-11-24 00:00:00 UTC,,591.3858,,,17.2374,26.59905381,,
2013-11-25 00:00:00 UTC,,456.3833,,,39.04740825,43.3184793,,
2013-11-26 00:00:00 UTC,,568.3076,,,28.09211971,174.37349933,,
2013-11-27 00:00:00 UTC,,1152.4225,,,46.88456349,122.93949321,,
2013-11-28 00:00:00 UTC,,700.6308,,,61.8647484,57.86858349,,
2013-11-29 00:00:00 UTC,,771.0327,,,46.05950676,70.64020174,,
2013-11-30 00:00:00 UTC,,374.7613,,,40.60825,21.28444341,,
2013-12-01 00:00:00 UTC,,980.4326,,,14.28445404,142.47482173,,
2013-12-02 00:00:00 UTC,,439.0538,,,26.79979958,43.10810431,,
2013-12-03 00:00:00 UTC,,362.752,,,44.84768833,18.86944656,,
2013-12-04 00:00:00 UTC,,864.2038,,,41.75147854,117.3401439,,
2013-12-05 00:00:00 UTC,,1393.6953,,,34.91426667,155.61029372,,
2013-12-06 00:00:00 UTC,,1852.2168,,,28.7513223,326.57497323,,
2013-12-07 00:00:00 UTC,,2138.5963,,,16.12204459,271.15600323,,
2013-12-08 00:00:00 UTC,,797.7206,,,11.07394,134.70720228,,
2013-12-09 00:00:00 UTC,,673.6413,,,30.99747423,184.88006355,,
2013-12-10 00:00:00 UTC,,439.7143,,,35.47087203,49.00461063,,
2013-12-11 00:00:00 UTC,,509.2599,,,40.49345,203.2203702,,
2013-12-12 00:00:00 UTC,,276.9319,,,22.35059334,28.60736507,,
2013-12-13 00:00:00 UTC,,187.8408,,,39.62825511,12.3158147,,
2013-12-14 00:00:00 UTC,,219.1184,,,9.63984757,11.92102826,,
2013-12-15 00:00:00 UTC,,493.4842,,,10.61716,55.59238821,,
2013-12-16 00:00:00 UTC,,1290.6037,,,30.41223333,105.79748867,,
2013-12-17 00:00:00 UTC,,759.4972,,,41.63631144,93.02734166,,
2013-12-18 00:00:00 UTC,,2924.8595,,,36.12831,373.37963994,,
2013-12-19 00:00:00 UTC,,886.7757,,,37.9914,201.17349896,,
2013-12-20 00:00:00 UTC,,632.188,,,37.24230724,207.06058621,,
2013-12-21 00:00:00 UTC,,244.692,,,11.99687848,14.53617402,,
2013-12-22 00:00:00 UTC,,125.9332,,,6.5639,21.44687476,,
2013-12-23 00:00:00 UTC,,198.8821,,,18.44578422,14.51771523,,
2013-12-24 00:00:00 UTC,,131.4034,,,15.2763945,10.811115,,
2013-12-25 00:00:00 UTC,,134.9446,,,7.6452,17.28393737,,
2013-12-26 00:00:00 UTC,,324.5414,,,5.75966439,59.98377484,4.024,
2013-12-27 00:00:00 UTC,,296.145,,,27.64727783,12.1130512,0.104,
2013-12-28 00:00:00 UTC,,94.8072,,,12.0065,17.67095523,,
2013-12-29 00:00:00 UTC,,63.9526,,,3.0621,29.54199111,0.33264302,
2013-12-30 00:00:00 UTC,,139.8362,,,23.8097,14.80343824,0.2882,
2013-12-31 00:00:00 UTC,,165.3407,,,15.7397,1.21685662,0.01999998,
2014-01-01 00:00:00 UTC,,197.5062,,,2.7197,9.44999382,0.21598742,
2014-01-02 00:00:00 UTC,,368.7947,,,12.3953,47.2065578,13.18198642,
2014-01-03 00:00:00 UTC,,354.492,,,29.9589,42.07574218,2.59211314,
2014-01-04 00:00:00 UTC,,206.9228,,,10.7654,14.84809777,2.32568046,
2014-01-05 00:00:00 UTC,,524.4632,,,6.3583,32.35664862,10.55830014,
2014-01-06 00:00:00 UTC,,410.82,,,25.7115,45.15279467,4.4339091,
2014-01-07 00:00:00 UTC,,761.9107,,,18.9327,19.8050554,9.1376,
2014-01-08 00:00:00 UTC,,214.5283,,,31.3834,13.69269635,6.8224,
2014-01-09 00:00:00 UTC,,326.8957,,,15.6384,75.24506037,2.9898967,
2014-01-10 00:00:00 UTC,,220.7792,,,21.2271,11.40986676,4.07958584,
2014-01-11 00:00:00 UTC,,253.424,,,7.4246,22.78064275,6.78281542,
2014-01-12 00:00:00 UTC,,154.727,,,3.3717,26.02693721,3.2431024,
2014-01-13 00:00:00 UTC,,304.7439,,,21.1651,26.49845791,7.72215384,
2014-01-14 00:00:00 UTC,,143.9254,,,18.382,5.77321418,3.78099446,
2014-01-15 00:00:00 UTC,,452.4962,,,24.6424,48.05745718,6.864,
2014-01-16 00:00:00 UTC,,256.2819,,,24.3565,23.03437568,14.96941804,
2014-01-17 00:00:00 UTC,,308.4868,,,32.7782,29.42589016,12.37906992,
2014-01-18 00:00:00 UTC,,89.1238,,,10.7756,14.57440683,23.09497702,
2014-01-19 00:00:00 UTC,,92.6175,,,3.5181,17.55487665,20.83684334,
2014-01-20 00:00:00 UTC,,218.8155,,,29.0678,14.66291018,9.67585202,
2014-01-21 00:00:00 UTC,,233.1435,,,24.662,16.65926375,14.77149714,
